Store,Year,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_Sales,per_Dry_Grocery,per_sum_dairy,per_frozen_food,per_sum_meat,per_sum_produce,per_sum_floral,per_sum_deli,per_sum_bakery,per_general_merchandise,Cluster,Input_#2_Store,Address,City,State,Zip,Type
S0011,2015,10163008.45,2104841.34,1609834.78,2719787.7,2205228.62,176845.1,1091045.18,726534.57,1598547.88,23486718.8,44,8,6.85423448762029,11.5801092658375,9.38925798353748,0.752957880178648,4.6453708127165,3.09338471749404,6.80617796641734,2,S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,Existing
S0012,2015,22920867.6,4784134.92,3657381.26,5626478.83,4639016.01,335699.97,2216645.21,914460.49,4091856.84,51403186.34,44,10,7.11508667149291,10.9457783274063,9.0247635220817,0.65307229746334,4.31227199679466,1.77899572985887,7.96031750431758,2,S0012,1124 W Ocean Ave,Lompoc,CA,93436,Existing
S0013,2015,17451783.56,3553516.21,2951489.37,4467174.88,3629467.14,309895.27,1812614.94,1342741.95,3650467.09,40981765.35,42,8,7.20195761405871,10.900396412523,8.85629769484783,0.756178430463831,4.42297915797324,3.27643755346425,8.90753987492635,2,S0013,3520 Riverside Plaza Dr,Riverside,CA,92506,Existing
S0014,2015,13770222.43,3029633.62,2391810.25,3058413.55,3311035.35,330321.91,1082305.37,636768.63,3377451.51,32070267.99,42,10,7.45803013166527,9.53660116265215,10.3243145677249,1.02999423049099,3.37479365728244,1.98554196740281,10.5314103114235,3,S0014,3901 Portola Pkwy,Irvine,CA,92620,Existing
S0015,2015,16733288.07,3689264.26,2908692.42,3735002.13,3921200.02,287081.34,1306527.72,937785.14,3834916.56,38660285.38,44,10,7.52372206105013,9.66108266736235,10.1427084188792,0.7425742908471,3.37950873139675,2.42570671887782,9.91952470682977,3,S0015,10675 Scripps Poway Pkwy,San Diego,CA,92131,Existing
S0016,2015,11144879.86,2135270.92,1823002.86,2570843.14,2065999.38,145993.89,1075451.66,670693.26,1720661.82,24428248.45,46,8,7.4626834737306,10.5240584287573,8.45741922196636,0.597643708671221,4.40249190277087,2.74556426496473,7.04373800488344,2,S0016,1201 Avocado Ave,El Cajon,CA,92020,Existing
S0017,2015,13818627.34,3158295.28,2484711.41,3081529.14,4215854.25,422332.61,1288667.35,890682.47,2180252.8,32829620,42,10,7.56850493548204,9.38642951091118,12.8416175697434,1.28643770473128,3.92531911730931,2.71304532309542,6.64111494437036,1,S0017,30252 Crown Valley Pkwy,Laguna Niguel,CA,92677,Existing
S0018,2015,10994579.22,2399399.79,1918423.17,2575042.16,2646907.99,226217.15,1044561.79,848925.03,1624673.09,25323291.18,44,10,7.575726063266,10.1686709744653,10.4524643782894,0.89331654559445,4.12490533941726,3.3523487289459,6.41572644902944,2,S0018,10001 Paramount Blvd,Downey,CA,90240,Existing
S0019,2015,9500819.34,1918345.51,1532868.24,2197008.49,1865858.21,113276.66,638836.560000001,385628.7,1529502.66,20320980.93,46,10,7.54327876828533,10.8115277385874,9.18192983117966,0.557436968176909,3.14372894793126,1.89768742625359,7.52671667410495,3,S0019,17390 Main St,Hesperia,CA,92345,Existing
S0020,2015,10997288.18,2568277.53,1866647.95,2600090.68,2615310,201233.89,914548.27,705612.78,1501802.12,24885359.67,44,10,7.50098843156483,10.4482744653053,10.5094321909795,0.808643687165964,3.67504541677376,2.83545341259679,6.03488211508739,2,S0020,850 Linden Ave,Carpinteria,CA,93013,Existing
S0021,2015,9410854.64999999,2656706.22,1879698.39,1874153.33,3217947.64,194611.01,795313.459999999,612390.49,1100774.09,22537762.74,42,12,8.34021731298073,8.31561389486879,14.2780260717218,0.863488591325903,3.52880394196571,2.71717515649027,4.88413203519242,1,S0021,1311 Wilshire Blvd,Santa Monica,CA,90403,Existing
S0022,2015,13404375.38,2752887.18,2163727.82,3022688.81,2625382.14,246755.04,1229095.06,970143.130000001,2074377.15,29718526.77,46,10,7.28073715344537,10.1710587250621,8.83415978294809,0.830307107447507,4.13578731379355,3.2644388381302,6.98008069529888,2,S0022,13438 Poway Rd,Poway,CA,92064,Existing
S0023,2015,7723456.22999999,1921840.1,1491504.46,1938579.85,1893525.06,167752.48,678086.29,640114.98,1233253.09,18366198.83,42,10,8.12092079480118,10.5551500772901,10.3098364420789,0.913376151226171,3.6920339166338,3.4852883055715,6.71479766398674,1,S0023,5922 Edinger Ave,Huntington Beach,CA,92649,Existing
S0024,2015,11160900.76,2550573.86,2014391.25,2570942.73,2709800.59,132218.66,1008674.17,562929.26,1813070.15,25532175.6,44,10,7.88961850160548,10.069422873623,10.6132772719925,0.517851130555439,3.95060015958844,2.20478375528641,7.10111891130813,3,S0024,15740 La Forge St,Whittier,CA,90603,Existing
S0025,2015,14470649.14,3278235.63,2493889.08,3286736.53,3498500.3,166116.52,1324244.75,961693.58,1838856.38,32643166.66,44,10,7.63985034287724,10.0686816454835,10.7174047678621,0.508886045677531,4.05672882105121,2.94607931275991,5.63320464326545,2,S0025,2684 N Tustin St,Orange,CA,92865,Existing
S0026,2015,9711806.15,2236359.26,1664161.72,2119542.42,2411984.05,176843.89,799105.96,648571.84,1451771.86,22019253.11,44,10,7.55775734847348,9.62585973925434,10.9539775847556,0.803133008719932,3.62912382181159,2.94547611020218,6.5931930240662,1,S0026,2039 Verdugo Blvd,Montrose,CA,91020,Existing
S0027,2015,11859562.08,2762018.81,2061424.43,2638827.83,3511115.94,431558.24,789146.71,620490.05,1876040.56,27339331.36,44,10,7.54014208634253,9.65213009510851,12.8427279137378,1.57852521818222,2.88648869867606,2.26958751049719,6.86205721455508,1,S0027,29211 Heathercliff Rd,Malibu,CA,90265,Existing
S0028,2015,7841593.17,1787154.37,1366909.87,2062508.92,2017244.48,61139.8299999999,645670.38,521856.64,1007023.92,17956771.96,44,10,7.61222492018549,11.4859671025192,11.233892619974,0.340483412810461,3.59569293099159,2.90618292175494,5.60804537832979,2,S0028,24160 Lyons Ave,Newhall,CA,91321,Existing
S0029,2015,14829406.83,3341340.32,2451973.11,4420784.46,3333528.94,209019.35,1440562.53,598927.39,2981115.45,35047220.91,42,10,6.9961984041376,12.613794604007,9.51153573220651,0.596393507310477,4.11034739016629,1.70891549871536,8.50599668845468,2,S0029,2058 W Avenue J,Lancaster,CA,93534,Existing
S0030,2015,11232100.21,2789061.75,1805115.79,2839990.86,2965450.25,211755.18,1225710.44,779454.599999999,1648698.92,26723048.44,42,10,6.75490221129876,10.6274958352019,11.096975918216,0.792406526805666,4.58671637987721,2.91678773755948,6.16957651258144,2,S0030,3125 W Florida Ave,Hemet,CA,92545,Existing
S0031,2015,13344842.36,3014887.33,2274456.12,3304425.47,2575738.86,184062.48,1133312.67,595091.290000001,2842620.56,30402749.81,44,10,7.48108685633392,10.8688374921702,8.47205886341502,0.605413921932347,3.72766502070557,1.95736008656778,9.34987978970577,3,S0031,31564 Grape St,Lake Elsinore,CA,92532,Existing
S0032,2015,10839766.57,2277093.41,1769568.5,2797084.07,2331785.09,157300.51,966854.670000001,567271.16,2458833.29,25132411.94,44,10,7.04098159868058,11.129389716664,9.27799964271952,0.625887043295057,3.84704290343572,2.25712980256044,9.78351499199562,3,S0032,16550 Soledad Canyon Rd,Santa Clarita,CA,91351,Existing
S0033,2015,14465006.19,3356605.45,2631936.7,3916347.08,3730920.43,296740.91,1345068.95,923256.25,2294605.79,34305556.7,42,10,7.67204194648735,11.4160720790752,10.8755571659328,0.864993716892517,3.92084863033282,2.69127318957048,6.6887292052019,1,S0033,11322 Los Alamitos Blvd,Los Alamitos,CA,90720,Existing
S0034,2015,13566943.93,3218941.92,2562510.4,3402503.03,3561114.71,362451.26,1372806.13,902119.1,2100665.64,32422862.25,42,10,7.90340587527864,10.4941476288078,10.9833446613739,1.11788791873241,4.23406829235133,2.78235491069268,6.4789642068075,1,S0034,1125 Maricopa Hwy,Ojai,CA,93023,Existing
S0035,2015,8525732.59,1856416.79,1448285.37,2243507.61,1615522.5,132984.09,742343.57,537480.27,1262948.38,19107564.74,44,10,7.57964392483853,11.7414628212847,8.45488434545532,0.695976132016496,3.88507682743039,2.81291874351122,6.6096773565086,2,S0035,81 W Foothill Blvd,Upland,CA,91786,Existing
S0036,2015,8814761.2,1687871.64,1432261.65,1795257.75,1748605.79,103705.82,545124.18,283134.94,1416381.48,18372228.63,48,10,7.79579700886839,9.77158398229666,9.51765746668699,0.564470550027115,2.96710971204586,1.5411028553045,7.70936127850702,3,S0036,33644 Yucaipa Blvd,Yucaipa,CA,92399,Existing
S0037,2015,13507345.36,3060559.9,2410415.17,3383050.92,3562066.35,256331.63,1246123.74,635399.37,3225658.13,32533074.31,42,10,7.40912201236109,10.3988048831897,10.9490616105257,0.787910873585067,3.83032887739407,1.95308738407391,9.91501171780897,3,S0037,4627 Carmel Mountain Rd,San Diego,CA,92130,Existing
S0038,2015,9122829.82,2227430.86,1714191.72,2453893.95,2171273.05,155092.65,782759.5,593747.63,1411229.41,21415208.09,42,10,8.00455317919818,11.4586509721839,10.1389304314717,0.724217338202854,3.65515710475639,2.77255129861313,6.58984682319751,2,S0038,5805 E Los Angeles Ave,Simi Valley,CA,93063,Existing
S0039,2015,9669474.43000001,2328789.52,1581216.99,2939723.13,1579637.47,147463.34,758905.04,1010486.17,1345626.92,22120228.05,44,10,7.14828520947368,13.2897505548095,7.14114459593014,0.666644754596008,3.43081924058192,4.56815439567767,6.08324162372277,2,S0039,1221 S Gaffey St,San Pedro,CA,90731,Existing
S0040,2015,16073815.58,3677680.76,2788687.32,4769599.23,4543001.51,299539.75,1464123.59,700204.9,2709070.05,38489846.28,42,10,7.24525450092289,12.391837564907,11.8031167933259,0.778230569748068,3.80392163519963,1.81919380739081,7.03840184315748,2,S0040,4550 Atlantic Ave,Long Beach,CA,90807,Existing
S0041,2015,11674107.53,2674726.45,2087500.74,2595859.27,2402327.77,172803.28,1261126.41,705443.21,1693623.67,26528644.74,44,10,7.86885557275551,9.7851182954927,9.05559930989524,0.651383746488363,4.75382901147027,2.65917545699698,6.384131894406,2,S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,Existing
S0042,2015,18881880.24,4006812.63,3217344.18,4719220.8,3843105.62,238829.76,1884916.5,1159185.22,2410507.99,42246719.44,44,10,7.61560713505663,11.1706207311608,9.09681431112797,0.56532143363035,4.46168726231397,2.74384670659767,5.70578738882547,2,S0042,13439 Camino Canada,El Cajon,CA,92021,Existing
S0043,2015,12162194.78,2791583.6,2218720.2,2890792.8,3136766.86,231556.75,1021871.91,690136.36,2014870.32,28180365.49,44,10,7.87328397421718,10.2581806507294,11.1310368246044,0.821695339906679,3.62618401937554,2.44899719361305,7.14990840241228,3,S0043,2048 E Avenida De Los Arboles,Thousand Oaks,CA,91360,Existing
S0044,2015,15772314.51,3562553.91,2715622.41,4481645.11,3735116.20000001,201122.97,1456372.17,1316636.75,2290881.67,36988637.87,42,10,7.34177457289535,12.1162750727701,10.0980095918304,0.543742569561132,3.9373500995591,3.55957079205631,6.19347400153397,2,S0044,7789 Foothill Blvd,Tujunga,CA,91042,Existing
S0045,2015,18821234.56,4354423.4,3546379.18,3883710.16,4446110.8,394119.27,1637901.97,952974.540000001,4267237.08,43941992.93,42,10,8.07059248689384,8.83826586151153,10.1181364420196,0.896908045631511,3.72741849148533,2.16871033027131,9.71106860537196,3,S0045,6351 Haven Ave,Rancho Cucamonga,CA,91737,Existing
S0046,2015,17883061.14,4373298.18,3320714.19,4574109.64,5002506.61,443995.32,1607814.64,1209799.41,3893486.6,43916600.37,40,10,7.5614099498203,10.4154456434762,11.3909240875969,1.01099656225508,3.66106353054213,2.754765623494,8.86563752020225,1,S0046,1820 Ximeno Ave,Long Beach,CA,90815,Existing
S0047,2015,20130418.28,4359082.65,3644785.09,4807596.71,4593568.85,380905.05,1727800.92,936433.169999999,4516050.58,46824442.22,42,10,7.78393701493622,10.2672802537871,9.81019448863389,0.813474826267776,3.68995515607447,1.99988109970485,9.6446436217687,3,S0047,4200 Chino Hills Pkwy Ste 400,Chino Hills,CA,91709,Existing
S0048,2015,15351829.53,3431379.41,2843183.47,3562316.55,3440749.53,331411.22,1338514.34,924731.52,3560088.01,36122717.92,42,10,7.87090128792834,9.86170685685768,9.5251678946754,0.917459258558471,3.70546408762588,2.55997215394472,9.85553749827028,3,S0048,845 College Blvd,Oceanside,CA,92057,Existing
S0049,2015,10022010.28,2424017.45,2025935.33,2122030.11,2510813.07,231099.48,940397.14,698494.12,1523808.91,23439003.03,42,10,8.64343644397745,9.05341454704356,10.7121154717475,0.985961219016917,4.01210383733629,2.98005047017565,6.50116776745858,1,S0049,550 E 1st St,Tustin,CA,92780,Existing
S0050,2015,18904924.18,4604837.64,3654389.92,4286193.57,6382729.42,654293.36,1635272.62,921487.02,2895084.11,45574484.46,42,10,8.01849974453886,9.40480977631666,14.0050501846094,1.43565718351518,3.58813191059847,2.02193624550767,6.35242316902338,1,S0050,7 Peninsula Ctr,Rolling Hills Estates,CA,90274,Existing
S0051,2015,14858870.69,3404191.04,2738386.27,2877653.86,3917645.91,271433.73,1250997.7,1026703.85,2015389.09,33612269.84,44,10,8.14698407169517,8.56131964219647,11.655404198076,0.807543588374334,3.72184831894709,3.054550778294,5.99599223614944,1,S0051,26022 Marguerite Pkwy,Mission Viejo,CA,92692,Existing
S0052,2015,19906352.86,4440704.91,3420423.44,5136574.65,6637175.18,734241.050000001,1987478.38,1153010.85,3571911.99,48975351.69,40,10,6.98396912318324,10.4880811933992,13.5520725241779,1.49920526277695,4.05811966921681,2.3542676269039,7.29328502347299,1,S0052,635 Foothill Blvd,La Canada,CA,91011,Existing
S0053,2015,14581530.55,3130532.88,2313704.13,3715695.89,2745412.25,201233.77,1447634.62,860645.189999999,1901166.71,32345190.61,46,10,7.15316276196154,11.4876302161943,8.48785305705144,0.622144331830852,4.47557919028754,2.66081347417974,5.87774155645948,2,S0053,750 N Imperial Ave,El Centro,CA,92243,Existing
S0054,2015,17026101.04,3989612.16,3149861.69,4164490.16,4386911.15,309659.41,1673337.82,1146805.78,2423532.2,39943649.23,42,10,7.88576344605557,10.4259131057866,10.9827500355305,0.775240660203445,4.18924623127129,2.8710591097888,6.06737803560468,1,S0054,2938 Tapo Canyon Rd,Simi Valley,CA,93063,Existing
S0055,2015,19088095.08,3736021.51,3173059.07,3847038.75,4400262.02,225703.13,1465620.42,639279.85,2427596.17,40468296.42,48,10,7.84085160657227,9.5063026871048,10.8733562053908,0.557728271181819,3.62165089626968,1.57970536581337,5.99876047364387,3,S0055,330 W El Norte Pkwy,Escondido,CA,92026,Existing
S0056,2015,10391159.07,2549257.22,1884567.75,1907090.37,2572158.37,176842.67,592394.16,490284.11,1248561.77,22404709.65,46,12,8.41148035140907,8.51200662624967,11.4804360787599,0.789310251114993,2.64406086601528,2.18830825151979,5.57276478697862,3,S0056,32401 Camino Capistrano,San Juan Capistrano,CA,92675,Existing
S0057,2015,14653637.31,3251575.4,2519485.1,4931545.65,3587804.57,196213.47,1656800.49,592246.87,2057046.97,35103156.32,42,10,7.17737481220321,14.0487242943172,10.220746354811,0.558962471098951,4.71980489417141,1.68716130424593,5.86000572497807,2,S0057,500 E Manchester Blvd,Inglewood,CA,90301,Existing
S0058,2015,13413628.73,2897466.58,2305301.28,2962731.37,2897813.17,240267.69,1378425.27,860880.03,1909961,30244900.39,44,10,7.62211563031701,9.79580468705918,9.58116288244783,0.79440727825786,4.55754607297617,2.84636424289444,6.3149852549407,2,S0058,1855 Cochran St,Simi Valley,CA,93065,Existing
S0059,2015,12462807.04,2807123.52,2101484.93,3404045.88,3490732.83,214102.63,1259971.75,829482.95,2417121.15,30246844.43,42,10,6.94778238722868,11.2542182305263,11.5408165571737,0.707851129712046,4.16563041118534,2.74237847164409,7.99131676560152,2,S0059,950 N 2nd St,El Cajon,CA,92021,Existing
S0060,2015,15688606.94,3555148.75,2872841.23,3998911.1,3516216.8,366568.84,1452109.14,902494.46,2533936.38,36338942.78,44,10,7.90568192198794,11.0044783751961,9.67616702909484,1.00874932498518,3.9960137222242,2.48354627558595,6.97306026578906,3,S0060,351 W Felicita Ave,Escondido,CA,92025,Existing
S0061,2015,19352651.46,4461770.11,3095090.85,4923658.91,4329100.12,244877.13,2074325.81,1243333.02,2297763.31,44096896.53,44,10,7.01884053879925,11.1655451912593,9.81724443364132,0.555316018290324,4.70401768203527,2.81954767305254,5.2107143377693,2,S0061,57590 29 Palms Hys,Yucca Valley,CA,92284,Existing
S0062,2015,12248028.87,2577226.39,2079239.8,2442931.82,2882942.49,151167.25,1062596.06,559885.62,2060781.69,27127396.05,46,10,7.66472313143377,9.00540477787583,10.6274206513824,0.557249393643884,3.91705882142713,2.06391213873991,7.59668081006249,3,S0062,11800 De Palma Rd,Corona,CA,92883,Existing
S0063,2015,8729367.81,2373881.9,1771709.83,2202671,2822801.12,193831.14,623938.46,607220.75,1518719.92,21468080.39,40,12,8.25276316193261,10.2602140479501,13.1488287202189,0.902880632449504,2.90635421828696,2.82848181564872,7.07431634505818,1,S0063,4520 W Sunset Blvd,Los Angeles,CA,90028,Existing
S0064,2015,9975297.43000001,2452825.8,1630303.74,2620448.72,2806409.24,218816.85,906447.01,1001406.81,1242288.12,23760690.73,42,10,6.86134826013957,11.0285039680747,11.8111433370776,0.9209195662133,3.81490176485286,4.21455260446462,5.2283333599873,1,S0064,9119 Reseda Blvd,Northridge,CA,91324,Existing
S0065,2015,14548365.67,3709653.21,2541375.39,3903469.76,4244599.91,401274.129999999,1339607.66,1073955.02,2907880.44,36009788.85,40,10,7.05745707253709,10.8400240175249,11.7873501777004,1.11434735613563,3.72012084153057,2.9823974377456,8.0752499052768,1,S0065,2340 Foothill Blvd,La Verne,CA,91750,Existing
S0066,2015,15930729.89,3513480.75,2929476.99,3732184.45,3021856.3,304719.87,1410438.96,890801.23,3572979.13,36717106.53,44,10,7.9785072050992,10.1647019678704,8.23010467213959,0.829912536139051,3.84136739872895,2.42612044952988,9.73110211470686,3,S0066,522 Orange St,Redlands,CA,92374,Existing
S0067,2015,13208481.87,2850178.02,2323242.19,3517290.99,2926805.74,171868.63,1247766.13,703530.22,1748363.96,29945293.88,44,10,7.75828816143847,11.7457220626883,9.77384209929149,0.573942038066917,4.16681878294527,2.34938492445344,5.83852663796265,2,S0067,660 E Los Angeles Ave,Simi Valley,CA,93065,Existing
S0068,2015,17116047.01,3885400.46,2943162.25,3997440.94,4775191.33,364386.38,1782749.49,1400891.14,2559074.52,40607093.01,42,10,7.24790186107439,9.8441938185912,11.75950056022,0.897346628359398,4.39024160030608,3.44986808007905,6.30203821625398,1,S0068,1011 N San Fernando Blvd,Burbank,CA,91504,Existing
S0069,2015,10171488.28,2610543.88,1909920.49,2763957.68,3279238.46,194733.89,1023277.68,914185.360000001,1741950.8,25632574.2,40,10,7.45114585487087,10.7829890920593,12.7932467274395,0.759712576975589,3.99209877250643,3.56649844399944,6.79584807365933,1,S0069,1440 W 25th St,San Pedro,CA,90732,Existing
S0070,2015,15551585.46,3449561.43,2718768.77,3563208.16,4013986.34,276776.12,1336535.56,825115.8,3634274.01,36706347.21,42,10,7.40680829515861,9.70733519087202,10.9354012183115,0.754027957117447,3.64115653446411,2.24788316658001,9.90094162518548,3,S0070,4550 Atlantic Ave,Long Beach,CA,90807,Existing
S0071,2015,13753914.08,3038819.76,2126413.89,4160577.09,3135443.78000001,184240.31,1330196.58,665396.47,2552738,32277936.54,42,10,6.58782474327276,12.8898484103656,9.7138916427153,0.570793333618718,4.12107068353509,2.06145913068333,7.90861583371836,2,S0071,1270 E Main St,Barstow,CA,92311,Existing
S0072,2015,16735266.3,3531512.75,2411981.19,4778935.6,4147374.1,287682.8,1676771.13,692740.56,3797553.88,39736589.44,42,8,6.06992503380783,12.0265369206281,10.4371667484506,0.723974563630794,4.21971576733285,1.74333169948065,9.556818875294,2,S0072,729 N H St,Lompoc,CA,93436,Existing
S0073,2015,15644379.69,3508188.95,2793488.95,3782537.58,4465628.93,311041.81,1525076.3,1293299.18,2556073.85,37404791.54,42,10,7.46826498688729,10.1124412789603,11.9386547716074,0.831556057911397,4.07722176012961,3.45757622687716,6.83354657187858,1,S0073,175 N Fairview Ave,Goleta,CA,93117,Existing
S0074,2015,9359491.14999999,2112420.38,1619474.25,2705702.35,1908571.21,104311.03,766377.12,680005.26,1251862.39,21274592.26,44,10,7.61224577283626,12.7179986198241,8.97112944245918,0.49030801025561,3.60231167128371,3.19632570011003,5.88430732162009,2,S0074,777 S Glendora Ave,West Covina,CA,91790,Existing
S0075,2015,13433609.13,3046198.57,2352610.73,4961131.18,3567736.58,142057.19,1606817.41,499520.37,1549614.52,32766113.09,40,10,7.18001162828801,15.1410427180455,10.8884949832174,0.433549104862715,4.90389997002845,1.52450297851304,4.72932055060547,2,S0075,870 3rd Ave,Chula Vista,CA,91911,Existing
S0076,2015,9919151.26,2240409.57,1852723.94,2481944.99,2605311.13,264552.57,941792.04,590258.53,1712977.48,23550913.55,42,10,7.86688777939146,10.5386357294832,11.0624631374438,1.12332190188011,3.99896181522011,2.50630842301232,7.27350757058,1,S0076,7311 N Figueroa St,Los Angeles,CA,90041,Existing
S0077,2015,11830087.05,2777040.86,2205284.96,2861789.75,3178498.13,292412.08,1026552.9,1057670.22,1721778.73,27977667.58,42,10,7.88230453340742,10.2288360593925,11.360840287745,1.04516246454023,3.66918685077893,3.78040884564688,6.15411819114909,1,S0077,163 S Turnpike Rd,Goleta,CA,93111,Existing
S0078,2015,7941652.94,2202417.72,1620640.59,2058790.78,2343553.96,132383.08,667635.85,463992.82,974476.95,19073180.54,42,12,8.49696036065519,10.7941660578441,12.2871691749844,0.694079730029126,3.50039076387834,2.43269767738486,5.10914762200432,1,S0078,3855 State St,Santa Barabra,CA,93105,Existing
S0079,2015,11014708.74,2278637.38,1824305.04,2869326.94,2349084.45,183894.22,958828.26,539816.49,1716709.36,24694139.14,44,10,7.38760330804551,11.6194653465454,9.51272055560306,0.744687712972852,3.8828171112346,2.18601056282863,6.95188988070147,2,S0079,3027 Rancho Vista Blvd,Palmdale,CA,93551,Existing
S0080,2015,6015457.74,1340208.61,1037446.86,1278210.26,1042516.44,97321.71,457539.13,305939.47,1044103.93,13076283.28,46,10,7.93380533126536,9.77502729659433,7.97257460454772,0.744261254639935,3.49899983200731,2.33965159249747,7.98471482792777,3,S0080,29530 Rancho California Rd,Temecula,CA,92591,Existing
S0081,2015,6223032.38,1500900.17,1273072.82,1815579.88,1715208.66,124602.84,572727.66,631365.19,845442.23,15274659.49,40,10,8.33454140718131,11.8862216286302,11.22911225041,0.815748724752751,3.74952816705965,4.13341580814513,5.53493340099328,1,S0081,24325 Crenshaw Blvd,Torrance,CA,90503,Existing
S0082,2015,16101048.58,3519202.13,2629629.54,3968025.49,3544714.74,184041.21,1685799.63,1229853.62,2064418.11,36612532.68,44,10,7.18232077246179,10.837888557673,9.68169771531904,0.502672709393127,4.60443325441096,3.35910555751261,5.63855586840545,2,S0082,42170 Big Bear Blvd,Big Bear Lake,CA,92315,Existing
S0083,2015,8510839.61,2068732.16,1592307.43,2080217.16,2231752.09,134863.43,605897.73,478990.25,1299214.29,19608711.88,44,10,8.12040811117268,10.6086374909803,11.3814313946664,0.687773020611081,3.08994152042179,2.44274204716399,6.62569932156095,3,S0083,130 W Foothill Blvd,Monrovia,CA,91016,Existing
S0084,2015,9921287.97999999,2292092.92,2034849.42,2283307.78,2173133.49,137454.97,865370.47,476737.31,1369446.7,22419051.51,44,10,9.07642956747014,10.1846760956035,9.6932445560004,0.613116794609657,3.85997806202462,2.1264829593141,6.10840605539963,3,S0084,5500 Woodruff Ave,Lakewood,CA,90713,Existing
S0085,2015,9143517.2,2426042.21,1621992.03,2483554.6,2699498.21,229219.47,674595.12,796420,1477864.8,22227298.76,42,10,7.29729710979958,11.1734431917088,12.144967497616,1.03125203145468,3.03498471534469,3.58307146810493,6.64887270359432,1,S0085,561 N Glendale Ave,Glendale,CA,91206,Existing
,,,,,,,,,,,,,,,,,,,,,,S0086,6825 Camino Arroyo,Gilroy,CA,95020,New
